id,title,phase,priority,issue_numbers,issue_count,dependencies,scope,deliverables,acceptance_criteria,definition_of_done,status,closed_at,closed_by,closure_evidence,closure_validation
M01,M01 Src-first architecture foundation,Foundation,P0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,15,,"Establish the repository, source-layout guardrails, package boundaries, plugin capability model, and architecture decision workflow.",src-first monorepo scaffold;workspace/build conventions;package boundary document;shared error taxonomy;plugin capability model;architecture decision record template,Repository has no forbidden top-level implementation directories.;Build and lint commands are documented.;Package boundaries are explicit and enforceable.;Architecture decision records can be created and reviewed.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/m01_completion_report.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core/architecture
M02,M02 Core project model and schemas,Foundation,P0,16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,20,M01,"Define typed project, experiment, dataset, histogram, phase, parameter, constraint, strategy, and sequential-study models.",core JSON schemas;Rust/Python domain objects;parameter ownership model;constraint references;schema round-trip tests,All core entities serialize and deserialize deterministically.;Schema validation rejects malformed project files.;Parameter paths are stable and documented.;Core model tests pass.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/m02_completion_report.md,PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/core
M03,M03 Storage and data interchange foundation,Foundation,P0,36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,15,M02,"Create the project package, storage adapters, provenance log, and baseline data interchange paths.",project package layout;JSONL provenance;NeXus/HDF5 references;Zarr/Parquet/Arrow adapter stubs;import/export tests,"Project packages can be created, opened, and validated.;Large array references are not embedded in JSON metadata.;Provenance actions are append-only and replayable in tests.;Storage documentation covers local and cloud usage.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/batch_d_foundation.md | src/rietveld_next/storage/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M04,M04 Residual objective and parameter transform foundation,Physics and numerical engine,P0,51;52;53;63;64;65;66,7,M02,"Implement the residual-vector interface, parameter scaling, bounded transforms, objective registry, robust losses, and Poisson likelihood path.",residual vector API;parameter scaling utilities;bounded transforms;objective registry;robust loss functions;Poisson likelihood objective,"Gaussian least-squares, robust, and Poisson objectives are selectable through a common interface.;Invalid parameter values are handled through transforms or structured errors.;Small synthetic objective tests verify residual shapes and values.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/optimization.md | docs/numerical_kernels.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M05,M05 Derivative and sparse Jacobian infrastructure,Physics and numerical engine,P0,54;55;56;57;69,5,M04,"Implement sparse Jacobian structures, finite-difference fallback, analytic derivatives for scale/background parameters, and gradient test utilities.",sparse Jacobian data structure;finite-difference derivative fallback;analytic scale derivatives;analytic background derivatives;gradient verification utilities,Sparse Jacobians preserve parameter-to-residual indexing.;Analytic derivatives match finite differences within tolerance on synthetic cases.;Gradient utilities produce actionable failure reports.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/optimization.md | src/rietveld_next/optimization/jacobian.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M06,M06 Profile kernel and reflection batching foundation,Physics calculation,P0,58;59;60;61;62,5,M04;M05,Implement core peak-profile kernels and execution planning needed for efficient profile calculation.,Gaussian profile kernel;pseudo-Voigt profile kernel;Thompson-Cox-Hastings profile kernel;peak window selection;reflection batching plan,Each profile kernel has numerical tests and documented parameter conventions.;Peak windowing excludes negligible contributions without changing results beyond tolerance.;Reflection batching produces deterministic execution plans.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/profiles.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M07,M07 Uncertainty diagnostics and profile benchmark harness,Physics and numerical engine,P1,67;68;70,3,M05;M06,Implement covariance/correlation diagnostics and the first backend benchmark harness for profile calculations.,covariance calculation;correlation matrix calculation;profile backend benchmark harness,Covariance and correlation outputs include parameter labels and units.;Singular or ill-conditioned cases return warnings rather than misleading uncertainties.;Benchmark results are machine-readable and reproducible.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/optimization.md | docs/backend_benchmarks.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M08,M08 Local optimization adapters and rollback state,Optimization,P0,71;72;73;74;75,5,M04;M05,"Implement local refinement infrastructure, including SciPy adapters, Rust optimizer trait, convergence reporting, and rollback snapshots.",trust-region adapter;Levenberg-Marquardt adapter;Rust optimizer trait;convergence report object;rollback snapshots,"A synthetic refinement runs through both local adapters where dependencies are available.;Convergence reports include objective, iterations, termination reason, and parameter shifts.;Rollback restores previous model state exactly.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/optimization.md | docs/ground_truths.md | src/rietveld_next/optimization/adapters.py | src/rietveld_next/optimization/local.py | src/rietveld_next/optimization/tests/test_adapters.py | src/rietveld_next/optimization/tests/test_local.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next/optimization -p 'test_*.py'
M09,M09 Global and multi-start optimization foundation,Optimization,P1,76;77;78;79,4,M08,Implement initial global-search infrastructure for rugged refinement problems and autonomous starting-value discovery.,differential evolution adapter;simulated annealing adapter;multi-start runner;Bayesian optimization placeholder API,"Global optimizers share a common result schema.;Multi-start runs store seeds, candidates, objective values, and final local-refinement status.;Expensive global tests are opt-in and excluded from normal CI.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/optimization.md | src/rietveld_next/optimization/global_search.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M10,M10 Probabilistic uncertainty and model comparison foundation,Optimization,P1,80;81;84;85,4,M08,"Add uncertainty and model-comparison APIs needed for scientific validation, publication-quality analysis, and autonomous model ranking.",MCMC uncertainty API;optimizer result comparison utilities;model-selection scoring interface;reproducibility seed management,"MCMC API can run a minimal synthetic posterior example or clearly skip when backend dependencies are absent.;Model-comparison outputs record objective, parameter count, likelihood assumptions, and warnings.;Seed handling is deterministic and documented.","All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/nonblocking_batch_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
M11,M11 Optimizer safeguard heuristics,Optimization,P1,82;83,2,M08;M10,Implement parameter-freezing and overparameterization diagnostics that protect autonomous workflows from nonphysical or underdetermined refinements.,parameter-freezing heuristics;overparameterization detector,Highly correlated or unstable parameters are flagged with explanations.;Heuristics produce recommendations rather than silently changing the model.;Diagnostics are covered by synthetic pathological cases.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,,
M12,M12 Structural IO and symmetry baseline,Physics calculation,P0,86;87;88;89,4,M02,"Implement CIF ingestion, validation reporting, space-group lookup, and reflection generation.",CIF import v0;CIF validation report;space-group lookup service;reflection generation service,Representative CIFs import successfully.;Validation reports identify missing/ambiguous crystallographic fields.;Reflection generation matches reference cases for simple space groups.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/structural_io.md | src/rietveld_next/structure/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next/structure -p test*.py
M13,M13 Scattering factors and basic corrections,Physics calculation,P0,90;91;92;93,4,M12,Implement scattering tables and first-pass diffraction corrections needed by X-ray and neutron calculations.,X-ray form factor table;neutron scattering length table;multiplicity calculation;Lorentz-polarization correction,Scattering tables include citation/provenance metadata.;Multiplicity and Lorentz-polarization tests match reference calculations.;X-ray and neutron scattering lookup APIs are radiation-specific.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex batch closure audit,docs/numerical_kernels.md | src/rietveld_next/diffraction/ | src/rietveld_next/neutron/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
M14,"M14 Orientation, microstructure, and background models",Physics calculation,P1,94;95;96;97;98,5,M06;M13,"Implement first-generation preferred-orientation, size/strain broadening, and polynomial/Chebyshev background models.",preferred orientation model v0;isotropic size broadening;isotropic strain broadening;polynomial background model;Chebyshev background model,Each model has parameter bounds and validation rules.;Background models can be refined independently from phase/profile parameters.;Size and strain contributions are separately testable on synthetic patterns.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/nonblocking_batch_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
M15,"M15 Synthetic patterns, phase scales, and structural validation",Physics calculation,P1,99;100;101;102;103;104;105,7,M12;M13;M14,Create end-to-end synthetic pattern generation and phase quantification support with structural validation checks.,reflection tick generation;synthetic pattern generator;standard reference dataset registry;phase scale model;phase fraction calculation;occupancy constraints;ADP validation checks,Synthetic patterns include phase ticks and metadata.;Phase fraction calculation documents assumptions and normalization.;Occupancy and ADP validation produce structured warnings.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex physics batch prompt execution,docs/m15_completion_report.md | src/rietveld_next/diffraction/models.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p 'test*.py'
M16,M16 Lab and synchrotron CW X-ray instrument baseline,Physics calculation,P1,106;107;108;109;115,5,M13;M15,Implement lab and synchrotron CW X-ray instrument models and basic calibration/metadata validation workflows.,lab CW XRD instrument model;synchrotron CW XRD instrument model;wavelength metadata validation;zero-shift calibration workflow;beamline metadata template,Instrument models distinguish lab and synchrotron metadata.;Zero-shift calibration is reproducible on a synthetic/reference case.;Missing wavelength or beamline metadata produces actionable validation messages.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/xray/;src/rietveld_next/xray/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M17,M17 Fundamental-parameters and detector hook foundation,Physics calculation,P2,110;111;112;113;114,5,M16,"Create extensible APIs for fundamental-parameters, emission spectra, axial divergence, detector resolution, and 2D integration metadata links.",fundamental-parameters API skeleton;emission spectrum model skeleton;axial divergence hook;detector resolution hook;2D integration metadata link,Hooks are registered through the plugin/capability system.;Skeleton implementations are documented as incomplete physics models.;Tests verify that instrument hooks compose with the profile evaluation path.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/xray/fundamental_parameters.py;src/rietveld_next/xray/tests/test_fundamental_parameters.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
M18,M18 CW neutron instrument and correction physics,Physics calculation,P1,116;117;118;119;120,5,M13;M15,"Implement CW neutron instrument modeling, isotope scattering lookup, absorption hooks, sample geometry corrections, and extinction interfaces.",CW neutron instrument model;isotope scattering-length lookup;wavelength-dependent absorption hooks;sample geometry correction interface;extinction correction interface,Neutron instrument models use neutron scattering lengths rather than X-ray form factors.;Absorption/extinction interfaces can be attached without changing core profile kernels.;Reference neutron calculations pass baseline validation.,"All mapped issues are closed or explicitly deferred with rationale.;All implementation source created by this milestone is under src/.;Public APIs, schemas, and generated artifacts are documented.;Unit, integration, or validation tests relevant to the milestone pass in CI.;Codex-facing notes include commands to reproduce validation or benchmark results.",closed,2026-06-12,Codex non-blocking batch execution,docs/xray_neutron_physics.md;src/rietveld_next/neutron/;src/rietveld_next/neutron/tests/,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
